ReqID,RegWt,ReqSize,ReqQuality
4,2,1,3
4,0,1,3
4,0,1,3
4,0,1,3
4,0,1,3
4,0,1,3
4,32,1,3
4,2,1,3
4,2,1,3
4,2,1,3
4,0,1,3
4,14,1,3
4,2,1,3
4,38,1,3
4,14,1,3
4,2,1,3
4,0,1,3
4,0,1,3
4,0,1,3
4,14,1,3
4,0,1,3
4,38,1,3
4,14,1,3
1,6,3,3
1,0,3,3
1,62,3,3
1,62,3,3
3,2,1,3
3,0,1,3
3,0,1,3
3,0,1,3
3,0,1,3
3,0,1,3
3,32,1,3
3,2,1,3
3,2,1,3
3,2,1,3
3,0,1,3
3,14,1,3
3,2,1,3
3,38,1,3
3,14,1,3
3,2,1,3
3,34,1,3
3,34,1,3
3,0,1,3
3,14,1,3
3,34,1,3
3,38,1,3
3,14,1,3
5,0,3,1
5,0,3,1
5,0,3,1
5,0,3,1
5,0,3,1
5,0,3,1
5,0,3,1
5,0,3,1
5,0,3,1
5,0,3,1
6,0,2,2
6,0,2,2
6,14,2,2
6,0,2,2
6,0,2,2
6,0,2,2
6,0,2,2
21,0,3,1
21,0,3,1
21,0,3,1
21,0,3,1
21,0,3,1
21,0,3,1
21,0,3,1
21,0,3,1
6,0,2,2
6,0,2,2
6,0,2,2
6,0,2,2
6,62,2,2
6,0,2,2
21,0,3,1
21,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
17,0,3,1
10,8,3,1
10,0,3,1
10,0,3,1
10,0,3,1
10,0,3,1
10,0,3,1
10,0,3,1
10,0,3,1
10,0,3,1
10,0,3,1
12,0,2,1
12,0,2,1
12,0,2,1
12,0,2,1
12,0,2,1
12,0,2,1
22,0,3,1
22,0,3,1
22,0,3,1
22,0,3,1
22,0,3,1
12,0,2,1
12,0,2,1
12,0,2,1
12,0,2,1
16,0,3,1
16,0,3,1
16,0,3,1
16,0,3,1
16,0,3,1
16,0,3,1
16,0,3,1
16,0,3,1
15,0,2,1
15,0,2,1
15,0,2,1
15,0,2,1
15,0,2,1
8,0,3,1
8,0,3,1
8,0,3,1
8,2,3,1
9,0,3,1
9,0,3,1
9,0,3,1
9,2,3,1
15,0,2,1
15,0,2,1
15,0,2,1
15,0,2,1
15,0,2,1
15,0,2,1
15,0,2,1
11,0,3,1
11,0,3,1
11,0,3,1
11,0,3,1
11,0,3,1
11,2,3,1
11,0,3,1
11,0,3,1
11,0,3,1
11,0,3,1
11,0,3,1
9,0,3,1
9,0,3,1
12,0,2,1
12,0,2,1
12,0,2,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
19,0,3,1
18,0,3,1
18,0,3,1
18,0,3,1
18,0,3,1
18,0,3,1
18,0,3,1
18,0,3,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,16,1,1
7,16,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,2,1,1
7,2,1,1
7,2,1,1
7,2,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,2,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,8,1,1
7,8,1,1
7,8,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,24,1,1
7,24,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,4,1,1
7,0,1,1
7,0,1,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
13,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
14,0,2,1
2,0,3,3
2,0,3,3
2,0,3,3
2,2,3,3
2,0,3,3
2,2,3,3
2,2,3,3
2,0,3,3
2,2,3,3
2,2,3,3
2,2,3,3
2,0,3,3
5,0,3,3
5,0,3,3
5,2,3,3
5,0,3,3
5,0,3,3
5,2,3,3
5,0,3,3
5,0,3,3
5,2,3,3
5,2,3,3
5,2,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
5,0,3,3
